"slicenum","time","condition","censor","subnum","subgroup","run","cc200_LR_Thalamus","cc200_L_Thalamus","cc200_R_Thalamus","cc200_Thalamus"
61,NA,NA,1,"7647","proband","Pulse60",99.5203,99.158,99.5207,99.5203
62,NA,NA,1,"7647","proband","Pulse60",100.031,99.9612,100.115,100.031
63,NA,NA,1,"7647","proband","Pulse60",99.6361,99.5268,99.5998,99.6361
64,NA,NA,1,"7647","proband","Pulse60",100.469,100.356,100.16,100.469
65,NA,NA,1,"7647","proband","Pulse60",99.3576,98.9842,99.4147,99.3576
66,NA,NA,1,"7647","proband","Pulse60",99.6271,99.3153,99.8674,99.6271
67,NA,NA,1,"7647","proband","Pulse60",100.154,100.203,99.8485,100.154
68,NA,NA,1,"7647","proband","Pulse60",100.168,100.064,100.158,100.168
69,NA,NA,1,"7647","proband","Pulse60",99.8003,99.625,99.9932,99.8003
70,NA,NA,1,"7647","proband","Pulse60",100.019,99.8231,99.5915,100.019
71,NA,NA,1,"7647","proband","Pulse60",99.3813,99.1175,99.2373,99.3813
72,NA,NA,1,"7647","proband","Pulse60",99.2987,98.7246,99.4727,99.2987
73,NA,NA,1,"7647","proband","Pulse60",99.4551,98.7946,99.6828,99.4551
74,NA,NA,1,"7647","proband","Pulse60",99.6672,99.0431,99.7584,99.6672
75,NA,NA,1,"7647","proband","Pulse60",99.2482,98.837,99.5484,99.2482
76,NA,NA,1,"7647","proband","Pulse60",99.0999,98.5601,99.4189,99.0999
77,NA,NA,1,"7647","proband","Pulse60",99.074,98.8125,99.2976,99.074
78,NA,NA,1,"7647","proband","Pulse60",98.6708,98.0794,99.0796,98.6708
79,NA,NA,1,"7647","proband","Pulse60",98.8412,98.8217,99.5173,98.8412
80,NA,NA,1,"7647","proband","Pulse60",98.9951,98.6769,99.7437,98.9951
81,NA,NA,1,"7647","proband","Pulse60",99.3844,99.3766,99.4578,99.3844
82,NA,NA,1,"7647","proband","Pulse60",98.8892,98.5306,99.7378,98.8892
83,NA,NA,1,"7647","proband","Pulse60",97.5444,96.8686,98.54,97.5444
84,NA,NA,1,"7647","proband","Pulse60",98.1105,97.1815,98.5094,98.1105
85,NA,NA,1,"7647","proband","Pulse60",99.1136,98.7654,99.3317,99.1136
86,NA,NA,1,"7647","proband","Pulse60",99.3906,99.1512,99.602,99.3906
87,NA,NA,1,"7647","proband","Pulse60",99.6082,99.6044,99.7922,99.6082
88,NA,NA,1,"7647","proband","Pulse60",99.7127,99.4965,99.8895,99.7127
89,NA,NA,1,"7647","proband","Pulse60",99.9976,100.157,100.091,99.9976
90,NA,NA,1,"7647","proband","Pulse60",100.003,100.147,100.182,100.003
91,NA,NA,1,"7647","proband","Pulse60",99.7915,100.097,99.5096,99.7915
92,NA,NA,1,"7647","proband","Pulse60",99.7014,99.9269,99.3514,99.7014
93,NA,NA,1,"7647","proband","Pulse60",98.9984,99.1021,99.348,98.9984
94,NA,NA,1,"7647","proband","Pulse60",98.5972,98.134,99.2139,98.5972
95,NA,NA,1,"7647","proband","Pulse60",98.7478,98.1783,99.5487,98.7478
96,NA,NA,0,"7647","proband","Pulse60",98.529,97.9609,99.5158,98.529
97,NA,NA,0,"7647","proband","Pulse60",99.5065,98.4889,99.3343,99.5065
98,NA,NA,1,"7647","proband","Pulse60",100.148,99.8494,100.141,100.148
99,NA,NA,1,"7647","proband","Pulse60",101.243,101.724,100.603,101.243
100,NA,NA,1,"7647","proband","Pulse60",100.974,101.812,101.207,100.974
101,NA,NA,1,"7647","proband","Pulse60",100.438,100.917,100.408,100.438
102,NA,NA,1,"7647","proband","Pulse60",100.356,100.498,100.171,100.356
103,NA,NA,1,"7647","proband","Pulse60",99.8191,100.059,100.46,99.8191
104,NA,NA,1,"7647","proband","Pulse60",99.4121,99.5286,100.11,99.4121
105,NA,NA,1,"7647","proband","Pulse60",99.3979,99.2806,99.8333,99.3979
106,NA,NA,1,"7647","proband","Pulse60",99.3398,99.1655,100.049,99.3398
107,NA,NA,1,"7647","proband","Pulse60",99.5408,99.4545,100.117,99.5408
108,NA,NA,1,"7647","proband","Pulse60",99.7451,100.081,100.09,99.7451
109,NA,NA,1,"7647","proband","Pulse60",100.141,100.547,100.574,100.141
110,NA,NA,1,"7647","proband","Pulse60",100.409,100.323,100.965,100.409
111,NA,NA,1,"7647","proband","Pulse60",101.745,102.307,101.314,101.745
112,NA,NA,1,"7647","proband","Pulse60",102.075,103.048,101.084,102.075
113,NA,NA,1,"7647","proband","Pulse60",101.8,102.85,101.1,101.8
1,NA,NA,1,"7779","proband","Pulse60",100.124,100.209,99.8143,100.124
2,NA,NA,1,"7779","proband","Pulse60",99.5685,99.5627,99.3035,99.5685
3,NA,NA,1,"7779","proband","Pulse60",99.5831,99.8747,98.8231,99.5831
4,NA,NA,1,"7779","proband","Pulse60",98.817,98.7554,98.3558,98.817
5,NA,NA,1,"7779","proband","Pulse60",99.581,99.777,98.6453,99.581
6,NA,NA,1,"7779","proband","Pulse60",98.6575,98.5586,98.7339,98.6575
7,NA,NA,1,"7779","proband","Pulse60",100.333,100.457,99.7042,100.333
8,NA,NA,1,"7779","proband","Pulse60",99.4989,99.5434,99.3354,99.4989
9,NA,NA,1,"7779","proband","Pulse60",100.019,100.579,99.6882,100.019
10,NA,NA,1,"7779","proband","Pulse60",99.334,99.3911,99.6439,99.334
11,NA,NA,1,"7779","proband","Pulse60",99.6973,99.9493,99.3919,99.6973
12,NA,NA,1,"7779","proband","Pulse60",99.7093,99.5329,99.5623,99.7093
13,NA,NA,1,"7779","proband","Pulse60",99.549,99.2029,99.1657,99.549
14,NA,NA,1,"7779","proband","Pulse60",99.5415,99.4155,99.6674,99.5415
15,NA,NA,1,"7779","proband","Pulse60",100.847,101.093,100.233,100.847
16,NA,NA,1,"7779","proband","Pulse60",100.376,99.8901,100.108,100.376
17,NA,NA,1,"7779","proband","Pulse60",99.9875,100.108,100.268,99.9875
18,NA,NA,1,"7779","proband","Pulse60",100.333,99.9848,99.8834,100.333
19,NA,NA,1,"7779","proband","Pulse60",100.162,100.381,99.7765,100.162
20,NA,NA,1,"7779","proband","Pulse60",99.5952,99.4184,99.7488,99.5952
21,NA,NA,1,"7779","proband","Pulse60",100.359,100.17,99.9317,100.359
22,NA,NA,1,"7779","proband","Pulse60",99.7907,99.6942,99.9273,99.7907
23,NA,NA,1,"7779","proband","Pulse60",100.141,99.9972,99.9935,100.141
24,NA,NA,1,"7779","proband","Pulse60",99.9063,100.183,99.5593,99.9063
25,NA,NA,1,"7779","proband","Pulse60",99.6661,99.6491,99.1907,99.6661
26,NA,NA,1,"7779","proband","Pulse60",99.6092,99.6984,99.5086,99.6092
27,NA,NA,1,"7779","proband","Pulse60",99.2596,99.3809,98.9804,99.2596
28,NA,NA,1,"7779","proband","Pulse60",99.554,99.5915,98.9759,99.554
29,NA,NA,1,"7779","proband","Pulse60",99.9139,99.8818,99.7227,99.9139
30,NA,NA,1,"7779","proband","Pulse60",99.1458,99.1178,99.0094,99.1458
31,NA,NA,1,"7779","proband","Pulse60",99.8582,99.8817,99.361,99.8582
32,NA,NA,1,"7779","proband","Pulse60",98.7232,98.5001,98.7245,98.7232
33,NA,NA,1,"7779","proband","Pulse60",98.907,98.3631,99.1997,98.907
34,NA,NA,1,"7779","proband","Pulse60",99.9401,99.7123,99.8629,99.9401
35,NA,NA,1,"7779","proband","Pulse60",99.3677,99.39,99.5718,99.3677
